index,Movie,Synopsis,Year,Duration,Rating,Meta Score,Genre
35, Casablanca,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,1942,1h 42m,8.5 ,100,Romance
36, Cast Away,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,2000,2h 23m,7.8 ,73,Romance
37, Catch Me If You Can,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",2002,2h 21m,8.1 ,75,Drama
38, Cloverfield,A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.,2008,1h 25m,7.0 ,64,Horror
39, Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",2017,1h 45m,8.4 ,81,Animation
40, Constantine,"Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.",2005,2h 1m,7.0 ,50,Horror
41," Crazy, Stupid, Love","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.",2011,1h 58m,7.4 ,68,Romance
42, Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.",2016,1h 48m,8.0 ,65,Action
43, Despicable Me,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",2010,1h 35m,7.6 ,72,Animation
44, Despicable Me 2,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",2013,1h 38m,7.3 ,62,Animation
45, Die Hard,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,1988,2h 12m,8.2 ,72,Action
46, Django Unchained,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",2012,2h 45m,8.5 ,81,Drama
47, Doctor Strange in the Multiverse of Madness,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.",2022,2h 6m,6.9 ,60,Horror
48, Don't Breathe,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",2016,1h 28m,7.1 ,71,Horror
49, Edward Scissorhands,The solitary life of an artificial man - who was incompletely constructed and has scissors for hands - is upended when he is taken in by a suburban family.,1990,1h 45m,7.9 ,74,Romance
50, Eternal Sunshine of the Spotless Mind,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",2004,1h 48m,8.3 ,89,"Drama,Romance"
51, Fight Club,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,1999,2h 19m,8.8 ,67,Drama
52, Finding Dory,Friendly but forgetful blue tang Dory begins a search for her long-lost parents and everyone learns a few things about the real meaning of family along the way.,2016,1h 37m,7.2 ,77,Animation
53, Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",2003,1h 40m,8.2 ,90,"Adventure,Animation"
54, Forrest Gump,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",1994,2h 22m,8.8 ,82,"Drama,Romance"
55, From Dusk Till Dawn,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",1996,1h 48m,7.2 ,48,Horror
56, Frozen,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",2013,1h 42m,7.4 ,75,Animation
57, Get Out,"A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",2017,1h 44m,7.8 ,85,Horror
58, Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,2000,2h 35m,8.5 ,67,"Action,Adventure,Drama"
59, Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",2014,2h 29m,8.1 ,79,Drama
60, Good Will Hunting,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",1997,2h 6m,8.3 ,70,"Drama,Romance"
61, GoodFellas,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",1990,2h 25m,8.7 ,92,Drama
62, Grave of the Fireflies,A young boy and his little sister struggle to survive in Japan during World War II.,1988,1h 29m,8.5 ,94,Animation
63, Groundhog Day,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",1993,1h 41m,8.0 ,72,Romance
64, Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,2014,2h 1m,8.0 ,76,"Action,Adventure"
65, Halloween,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",1978,1h 31m,7.7 ,87,Horror
66, Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",2011,2h 10m,8.1 ,85,Adventure
67, Harry Potter and the Philosopher's Stone,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",2001,2h 32m,7.6 ,65,Adventure
68, Hauru No Ugoku Shiro,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",2004,1h 59m,8.2 ,82,Animation
69, Hellboy,"A demon raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.",2004,2h 2m,6.8 ,72,Horror
70, Her,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",2013,2h 6m,8.0 ,91,Romance
71, Hereditary,A grieving family is haunted by tragic and disturbing occurrences.,2018,2h 7m,7.3 ,87,Horror
72, How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",2010,1h 38m,8.1 ,75,Animation
73, How to Train Your Dragon 2,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",2014,1h 42m,7.8 ,77,Animation
74, I Am Legend,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",2007,1h 41m,7.2 ,65,"Action,Horror"
75, Ice Age,"The story revolves around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat.",2002,1h 21m,7.5 ,61,Animation
76," Il Buono, Il Brutto, Il Cattivo",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,1966,2h 41m,8.8 ,90,Adventure
77, Inception,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2010,2h 28m,8.8 ,74,"Action,Adventure"
78, Incredibles 2,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,2018,1h 58m,7.6 ,80,Animation
79, Indiana Jones and the Last Crusade,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",1989,2h 7m,8.2 ,65,Adventure
80, Inglourious Basterds,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",2009,2h 33m,8.4 ,69,"Adventure,Drama"
81, Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust, and Sadness - conflict on how best to navigate a new city, house, and school.",2015,1h 35m,8.1 ,94,Animation
82, Insidious,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,2010,1h 43m,6.8 ,52,Horror
83, Interstellar,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",2014,2h 49m,8.7 ,74,"Adventure,Drama"
84, Interview with the Vampire: The Vampire Chronicles,"A vampire tells his epic life story: love, betrayal, loneliness, and hunger.",1994,2h 3m,7.5 ,59,Horror
